Wicha Melchior
Maślanka Barnim
Gnatowski Pakosław
Martyna Gościsław
Opoka Marcin
Bartkiewicz Bożydar
Kielak Klemens
Gąska Wit
Arendt Przybysław
Adamczak Kazimierz
Sankowski Alan
Iwaniak Marin
Abramek Błażej
Kotula Dżan
Mysłek Ronald
Wojtkowiak Marek
Sakowski Orest
Langer Krzesisław
Paszkowski Honorat
Matczuk Wespazjan
Jarosiński Makary
Rogaczewski Sędomir
Jackowski Cichosław
Tutak Jasuf
Federowicz Serafin
Skwarek Jerzy
Kasprzyk Emanuel
Wilczewski Iwo
Gross Baltazar
Ponichtera Maksymin
Kucharek Lubosław
Smoter Alfred
Niedzielski Dalbor
Wójciak Fortunat
Sołtys Bogdał
Włoch Krystian
Lipnicki Mojmierz
Kotala Rafał
Kraski Manfred
Popek Józefat
Fornal Olgierd
Głowacki Modest
Długosz Oswald
Pacholski Miroład
Kornatowski Krzysztof
Zalewski Ludowit
Sadłowski Mojmierz
Cap Aleks
Ryczkowski Teodozjusz
Maciejowski Józefat
Lasota Placyd
Krzeszewski Brajan
Bednarek Serwacy
Gawron Kornel
Popowicz Godzisław
Milanowski Herakles
Miklas Jaromir
Szewczyk Kasper
Łoziński Mieczysław
Jakubczak Eligiusz
Kożuchowski Symplicjusz
Słowik Radosław
Żabicki Wahid
Górnik Maciej
Skórka Konstanty
Jackiewicz Krystyn
Chęć Leo
Radtke Makryn
Matusz Łucjan
Rus Szymon
Królak Faris
Machała Denis
Kęski Kamil
Martyniuk Zygmunt
Majcher Godzisław
Dembek Izydor
Pasierb Lubosław
Miętkiewicz Kochan
Nieradka Arkady
Magdziak Dacjusz
Francuz Marceli
Binkiewicz Ksawery
Kupczak Lubisław
Łukawski Hadrian
Mieszczak Bert
Ochocki Otto
Jucha Żarek
Dryja Gabriel
Golis Zefiryn
Młynek Żarek
Jędrzejczyk Norbert
Palacz Bartosz
Jastrzębski Ananiasz
Szołtysek Aleksy
Sternik Wespazjan
Raszka Lechosław
Krzysiek Godfryg
Sudoł Ludomir
Ziemski Cyprian
Dutka Kasjusz
Starczewski Ludomił
Bernaś Orian
Podsiadły Borysław
Gromek Medard
Łątka Pachomiusz
Jaśkiewicz Patrycjusz
Kaczorowski Ludwik
Rola Leon
Piwowarski Mirosław
Dąbkowski Rufus
Pepliński Bogusław
Gruszecki Petroniusz
Szychowski Miłowan
Pawlus Julian
Łuba Jarosław
Fudali Jarad
Niklas Tobiasz
Ossowski Apolinary
Szczęsny Pakosław
Koszałka Hermes
Moliński Wolimir
Labuda Oskar
Białas Konrad
Krzysztofiak Witold
Sosiński Oktawiusz
Gubała Krzesimir
Stachowiak Teobald
Czaplewski Radosław
Marek Mojżesz
Mrowiec Ryszard
Mularczyk Oskar
Oleksy Wenancjusz
Waszczuk Dżemil
Królikowski Tyberiusz
Grzywacz Leopold
Jędrysiak Miłowan
Parys Ginter
Palka Lech
Snopek Mojżesz
Siciński Dalbor
Worek Apoloniusz
Tkocz Walery
Dragan Gaj
Czop Celestyn
Rębisz Abelard
Lesiński Mirosz
Górak Ryszard
Filipczak Łazarz
Nieckarz Miłowit
Rychel Tristan
Rzepkowski Abel
Konopka Mateusz
Kuczek Gaj
Żmudziński Arkady
Żółtowski Tęgomir
Mentel Wilhelm
Ścibor Damian
Wawrzyński Wojciech
Smoleń Nasif
Dzierżanowski Aron
Wyrzykowski Michał
Okrój Walentyn
Adamkiewicz Alojzy
Przybylski Bogumił
Podlaski Dargosław
Jagusiak Hubert
Filipek Ludmił
Pudełko Leszek
Bronowicki Daniel
Siemianowski Arkady
Krupa Mirosz
Bałdyga Onufry
Moczydłowski Kajetan
Kuciński Kasper
Stocki Achilles
Włodarczak Maryn
Długokęcki Nasif
Sztorc Świętosław
Głąb Kasper
Łatka Jarowit
Purzycki Seweryn
Chmielecki Ciechosław
Ledwoń Beniamin
Sarna Damian
Czubak Borys
Domżalski Tomasz
Dołęga Albrecht
Kulawiak Rajmund
Goryl Dajmir
Boczek Luborad
Spychalski Norbert
Gleń Stefan
Tucholski Dżem
Dembiński Wrocisław
Jagiełło Jona
Andruszkiewicz Mikołaj
Ćwikliński Bolebor
Kolczyński Nicefor
Krasiński Oleg
Bajkowski Annasz
Dyba Bromir
Gruda Wahid
Zawadka Samuel
Ulman Pakosław
Kamrowski Sulisław
Komar Herakliusz
Badura Więcesław
Grzegrzółka Orian
Patalas Joachim
Kołodziejczak Feliks
Błoch Otokar
Grochowina Alwin
Łoś Beniamin
Kuras Manfred
Danowski Aleks
Kwaśny Derwit
Warszawski Heliodor
Bagrowski Godfryd
Łysak Justynian
Górka Włodzisław
Dworaczek Gerwazy
Olędzki Wilhelm
Lewiński Remigiusz
Rybacki Kajusz
Maik Igor
Kośla Józefat
Moch Barnim
Gromadzki Artur
Januszkiewicz Manfred
Pazio Mieczysław
Fabijański Otton
Szozda Achilles
Majek Leo
Grzelak Zenobiusz
Gomółka Dariusz
Kędzior Myślimir
Gałecki Rafał
Wiecha Wiesław
Najdek Apolinary
Popis Adam
Przytuła Domasław
Wasiński Aleksy
Pudło Alfred
Zawiła Bodosław
Adamiak Augustyn
Kluba Ignacy
Statkiewicz Gerwazy
Durlik Derwit
Kosiba Kajetan
Przybyłowicz Sambor
Fiałkowski Lucjan
Łojek Samson
Stosik Domasław
Grzybek Pafnucy
Wiewióra Mściwoj
Witak Maurycjusz
Baliński Gotszalk
Sambor Borys
Gadomski Jarema
Marchewka Stoisław
Kołecki Lew
Dłużniewski Gotszalk
Kargul Modest
Wąsik Jur
Olek Teodozjusz
Jóźwiak Joachim
Prus Cichosław
Popko Barnaba
Sypniewski Norbert
Bojanowski Pankracy
Siwiak Hermes
Dziekański Hieronim
Dragon Patrycjusz
Daniłowicz Mariusz
Wyszomirski Filip
Błażejczyk Baltazar
Goździk Konstancjusz
Grześkowiak Sławek
Mocarski Donald
Bogusławski Marin
Kaszubski Norbert
Baniak Bogusław
Tomala Świętopełk
Foltyn Arkadiusz
Wołowiec Wielisław
Potocki Florentyn
Albrecht Zefiryn
Szypuła Dal
Iwan Aleksander
Gruca Eugeniusz
Zygmunt Mieczysław
Tomkowiak Farid
Konior Niecisław
Torba Kajfasz
Grodzicki Wojciech
Komarnicki Chwalisław
Oniszczuk Kwietosław
Wiśniowski Wiesław
Bratek Korneliusz
Winiecki Modest
